text,gold_label,chatgpt_label,match
Dalawa katao ang nasawi habang nasugatan ang mahigit sa 20 katao sa matapos tamaan ng missile ng Russia ang isang ospital sa Dnipro City sa Ukraine.,7,8,False
"Aabot sa 60,000 katao ang nasawi sa mga ospital sa China dahil sa coronavirus mula nang tanggalin ng gobyerno nito ang zero COVID policy noong Disyembre 2023 at niluwagan ang mga health protocol.",8,8,True
"Tulfo dudang kainumaan gabi-gabi mga sindikato: Mga smuggler dabarkads agri, customs",6,6,True
Inaasahang sisigla ang kompetisyon sa serbisyo ng internet sa bansa sa sandaling maitatag na ng Starlink ni Elon Musk ang low-orbit satellite-based internet service sa Pilipinas.,0,0,True
Kinumpirma ng pulisya sa Central Visayas na apat na mayor at dalawang vice mayor ang nanganganib umano ang buhay at balak ding iligpit kasunod ni Negros Oriental Governor Roel Dagamo.,6,7,False
"Patay ang apat na sundalo habang kritikal ang isa pa matapos mag-amok ang isa nilang kasamahan at pagbabarilin ang mga ito sa 4th Infantry Division ng Philippine Army sa Camp Evangelista sa Cagayan De Oro City, kahapon ng madaling araw.",6,6,True
Patay ang 57-anyos na dating miyembro ng Mayor’s Anti-Crime Group (MAC-G) ng Tanauan City nang barilin ito sa ulo at katawan ng hindi pa nakikilalang salarinn sa nasabing lungsod sa Batangas nitong Lunes.,6,6,True
Malapit na umano maabot ang pangarap ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. na P20 kada kilo ng bigas.,0,0,True
4 ghost firm kinasuhan sa P25B resibo scam,6,6,True
Matapos makatanggap ng reklamo mula sa ilang mangingisda sa Manila Bay sisilipin ng ACT-CIS partylist ang ongoing reclamation sa Manila Bay.,5,1,False
Pinagre-report ni House Speaker Martin Romualdez sa Kongreso ang limang pulis escort ng pinaslang na gobernador na si Roel Degamo.,6,6,True
Itinuturing ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. ang exile ng kanilang buong pamilya sa Hawaii noong 1986 ang pinakamadilim na bahagi ng kanilang buhay.,12,10,False
Ex-NSA chief Carlos hugas-kamay sa listahan ng smuggler,12,6,False
SMC handa sa mga biyahero ngayong Semana Santa,1,10,False
Chinese ambassador binoldyak ni Enrile sa sawsaw EDCA,13,12,False
Tinawag ni Senador Jinggoy Estrada ang mga imbestigador ng International Criminal Court (ICC) na mga puting unggoy at hindi dapat papasukin sa Pilipinas para mag-imbestiga sa drug war ng dating administrasyong Duterte.,12,12,True
Inflation bahagyang bumaba noong Pebrero,0,0,True
"MTRCB bigyan ng werpa sa mga video, online game",5,5,True
Mga isnaberong Pharma exec bibitbitin sa Senado,6,6,True
Moderna magtatayo ng planta sa ‘Pinas,1,1,True
Relationship goals: Couple sabay pumasa sa Criminology Licensure Exam,14,14,True
"Bumulagta ang isang 62-anyos na canteen owner nang bulagain siya ng dalawang suspek at targetin sa ulo sa loob ng kanyang puwesto sa Talavera, Nueva Ecija noong Lunes.",6,6,True
"Arestado ang isang magsasaka matapos itong masamsaman ng ilegal na baril at granada sa Kalamansig, Sultan Kudarat nitong Biyernes.",6,6,True
"Computer setup bumagsak, HK airport naparalisa",1,1,True
"Bilang pangako ng administrasyon ni Pangulong Ferdinand “Bongbong” Marcos Jr. na bigyan ng mataas na pagpapahalaga ang edukasyon ng mga kabataang Pilipino, naglaan ang pamahalaan ng kabuuang P138.77 bilyon para sa mga programa at inisyatibo sa Higher Education sa ilalim ng 2023 Ge­neral Appropriations Act (GAA).",1,1,True
EU firm magbubuhos ng puhunan sa ‘Pinas,13,0,False
"Eroplano ng PAF bumagsak, 2 piloto ligtas",8,8,True
"Makikilala na anumang oras sa susunod na dalawa hanggang tatlong araw ang umano’y utak sa pamamaslang sa brodkaster na si Percival Mabasa, na mas kilala bilang Percy Lapid.",6,6,True
"Uulanin ang Palawan, Bicol region, Visayas at Mindanao sa susunod na mga oras dulot ng low pressure area (LPA).",8,8,True
Pumukaw ng atensyon sa social media ang larawan ng isang estudyante na nagmamartsa habang nagle-labor sa una niyang baby.,14,14,True
Walang legal na pananagutan! DOJ kuntento sa pagtugon ng GCash vs problema sa platform,6,4,False
Ikinumpara ni Albay Rep. Edcel Lagman ang kaso ng anak ni Justice Secretary Jesus Crispin Remulla at dating Sen. Leila de Lima na kapwa nasangkot sa iligal na droga.,3,6,False
"Umakyat na sa 44 ang bilang ng mga nasawi bunsod ng epekto ng shearline phenomenon na nagpabaha sa Visayas, Mindanao at maging sa Bicol noong Pasko.",8,8,True
"Dedo ang 50-anyos na kagawad at kaibigan nito habang kritikal ang kasama nilang barangay chairman nang bumaligtad ang sinasakyan nilang kotse matapos nitong suwagin ang bakal na bakod sa kalsada ng San Mateo, Isabela kahapon nang hatinggabi.",8,8,True
"Higit sa P500,000 halaga ng umano’y shabu ang nasamsam ng mga awtoridad mula sa limang hinihinalang tulak ng ilegal na droga sa magkakahiwalay na operasyon sa Bicol nitong Sabado.",6,6,True
Pinaplantsa sa Kamara de Representantes ang panukalang electronic o internet voting para sa mga overseas Filipino.,5,5,True
Mayroon pang 90 araw ang mga subscriber para iparehistro ang kanilang mga SIM card matapos aprubahan ni Pangulong Ferdinand “Bongbong” Marcos Jr. ang extension ng registration.,5,5,True
"Tsuper na napagtapos 5 anak sa kolehiyo, pinusuan",14,10,False
2 todas sa hinuhukay na balon,8,8,True
Bebot kinatok sa haybol saka tinigok,6,6,True
"Party, tugtugan sa Bora ngayong Biyernes Santo bawal muna",2,10,False
"Bulalo, sinigang swak na best soup sa mundo",10,10,True
"Higit sa P157 milyon ang naipagkaloob ng Philippine Charity Sweepstakes Office (PCSO) para sa pagpapagamot at iba pang tulong-medikal ng higit sa 20,000 mahihirap sa bansa nitong buwan ng Enero.",1,8,False
Apektado ng oil spill pumalo sa halos 200K residente,9,8,False
"Sumirit ang inflation noong Disyembre 2022 dahil sa pagtaas sa presyo ng maraming bilihin, kabilang na ang sibuyas at iba pang gulay, ayon sa Philippine Statistics Authority (PSA).",0,0,True
"Isla sa Romblon, Batanes kinilala ng int’l travel guide",10,10,True
Nakitaan ng kriminal at administratibong pananagutan ng Philippine National Police (PNP) Special Investigation Task Group (SITG) ang 47 pulis na may koneksyon sa pagkakakumpiska ng 990 kilo ng shabu na nagkakahalaga ng P6.7 bil­yon sa Maynila noong Oktubre nakaraang taon.,6,6,True
277 naputukan sa Bagong Taon salubong,8,8,True
"P90M puslit na asukal, yosi nabisto ng BOC sa 5 container van",6,6,True
Pabayang mga opisyal yari kay Tulfo! ‘Mental Hospital mabaho pa sa koral ng baboy’,8,6,False
Arestado ang isang 30-anyos na babae matapos nitong pasukin at pagnakawan ang apartment ng Hollywood actor na si Robert de Niro sa New York City kahapon ng umaga.,6,6,True
Nabisto at nahuli nang Philippine Coast Guard (PCG) ang isang barko at tatlong bangka na nagnanakaw ng diesel sa Navotas Fish Port.,6,6,True
Inihayag ni US President Joseph Biden nitong Lunes na magpapadala siya ng “first of its kind” presidential trade and investment mission sa Pilipinas.,13,13,True
Bautista todo-paliwanag sa NAIA sale,12,14,False
"Dapat nang imbestigahan at ilagay sa preventive suspension si Department of Agriculture (DA) Senior Undersecretary Domingo Panganiban dahil sa kanilang patuloy na pagtulong sa pagbuo ng isang makapangyarihang kartel sa asukal, na kanila pang ipinagmamalaki ngayon, ayon kay Senadora Risa Hontiveros.",6,6,True
"Pansamantalang isasara sa mga motorista  ang bahagi ng Maharlika highway sa Barangay San Juan, Alaminos Laguna upang bigyang daan ang konstruksyon ng TR4 project o South Luzon Expressway extension.",9,1,False
"Eroplano lumagpas sa runway, pitong pasahero 2 crew ligtas",8,8,True
Doble ang halaga ng in-import ng Pilipinas kumpara sa mga ini-export ng bansa noong Enero.,0,0,True
Mga tilapya naglutangan sa init,8,14,False
Pinoy folk dance bumida sa Hong Kong,10,10,True
"Fire volunteer, 2 pa timbog sa P3.5M drug bust",6,6,True
Mas mabuting may ginagawa ang VP kaysa wala – Escudero,12,12,True
"Bangka nagka-aberya, 72 nasagip sa trahedya",8,8,True
Nagpahayag ng pangamba si Senadora Risa Hontiveros na posibleng matakpan ang isyu ng sugar smuggling scandal ngayong itinalagang officer-in-charge (OIC) ng Sugar Regulatory Administration (SRA) si Agriculture Undersecretary Domingo Panganiban.,12,12,True
Naospital dahil sa COVID-19 tumaas,8,8,True
"Isang kahon na naglalaman ng nasa isang kilo ng pinaniniwalaang cocaine at nagkakahalagang P7 milyon ang natagpuan ng mga mangingisda na palutang-lutang sa karagatan sakop ng Rizal sa lalawigan ng Palawan, ayon sa ulat ng pulisya kahapon.",6,6,True
5 pulis escort ‘di sumipot noong itumba si Degamo,6,6,True
"Todas ang isang miyembro umano ng sindikato sa droga nang rapiduhin ito ng dalawa niyang kasama dahil sa onsehan sa droga sa bayan ng Tiaong, Quezon noong Huwebes.",6,6,True
Dinumog ng mga mamimili ang Antipolo Kadiwa Pop-Up Store na matatagpuan sa Sumulong Park.,14,9,False
96% ng SIM rehistrado na,5,1,False
Summer season idineklara ng Pagasa,8,14,False
"Ginisa vs US citizenship, libel ! Tulfo nalantad 4 bebot sa DSWD appointment",6,12,False
Tiniyak ni House Speaker Martin Romualdez na ang pagbisita sa Amerika at pakikipagpulong ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. kay US President Joe Biden ay malaking tulong sa Pilipinas.,13,13,True
"Diesel, kerosene tataas ng higit piso",0,0,True
"Naghain ng resolusyon ang mga miyembro ng Makabayan bloc upang paimbestigahan sa Kamara ang alegasyon ng kaso ng sex trafficking, rape at physical abuse ng mga babae at bata laban kay Kingdom of Jesus Christ founder Pastor Apollo Quiboloy.",6,6,True
"Linis korapsyon sa hudikatura, madugo – Escudero",12,6,False
Dapat tutukan ng gobyerno ang export upang makabawi sa mataas na inflation at hindi gaanong maramdaman ng mga Pilipino ang epekto nito.,5,0,False
"May 503 bagong kaso ng COVID-19 ang naitala ng Department of Health (DOH) kaya umabot na sa 4,085,116 ang kabuuang bilang ng mga dinapuan ng virus.",8,8,True
Sino raw itong tauhan ng senador ang hindi na pinabalik sa trabaho dahil sa kakaibang trip kapag nalalasing?,12,14,False
Yvonne murder pinakakalkal sa Kamara,6,6,True
Arnel Ty target barilin LPG VAT,5,5,True
Estudyante bumulaga bangkay sa rooftop,6,14,False
"P1M puslit na yosi nabisto, negosyante kalaboso",6,6,True
DepEd supervisor todas sa ambush,6,6,True
"Kasabay ng pagkumpirma na wala nang libreng sakay sa EDSA busway mula sa unang araw ng Ene¬ro, ipinahayag ni Department of Transportation (DOTr) Secretary Jaime Bautista nitong Miyerkoles na tuloy ang pagsasapribado ng gobyerno sa operasyon ng EDSA Bus Carousel service sa taong 2023.",5,1,False
"Nagkalasog-lasog ang katawan ng isang 58-anyos na lalaking pasyente ng Ospital ng Tondo matapos itong tumalon sa bintana ng ikaapat nitong palapag sa Jose Abad Santos sa Tondo, Maynila kahapon nang madaling-araw.",8,8,True
Parol ng mga PDL bumida sa Ortigas hotel,14,10,False
"Hindi na itutuloy ng Senado ang pag-imbestiga sa pagpaslang sa brodkaster na si Percival ‘Percy Lapid’ Mabasa, gayundin sa mga anomalya sa loob ng New Bilibid Prison (NBP) ayon kay Senador Ronald ‘Bato’ dela Rosa.",6,6,True
"Bumbero rumaket na tulak, bistado sa P23M shabu",6,6,True
Mga environmentalist ikinagalak pag-apruba ni PBBM sa clean and green mining,11,5,False
PCSO tutukuran problema sa malnutrisyon ng mga batang Pinoy,8,8,True
"PNP binalaan mga scammer, bilang na maliligayang araw",6,6,True
Mga cong na patok performance tinukoy sa survey ng RPMD,11,11,True
Mga Fil-Am rumampa sa protesta vs hate crime,3,3,True
Operasyon ng immigration vs mga dayuhan scam ‘yan- BI chief,6,6,True
"Kung meron man na dapat maunang bumaba sa puwesto, ito ay walang iba kundi ang nagbitiw na si Philippine National Police (PNP) chief General Rodolfo Azurin Jr. dahil sa palpak na pamumuno.",12,12,True
Tiyak na mapapasana-all ka sa mamshie na ito na nag-viral dahil sa bigating regalo ng kanyang mister para sa Mother’s day.,14,14,True
"Naghain ng panukala sina Speaker Ferdinand Martin Romualdez, Tingog party-list Representatives Yedda Marie Romualdez, at Jude Acidre para sa pagtatayo ng Special Agricultural Growth Zones (SAGZ) sa bansa.",5,5,True
"Patay ang isang lalaki matapos itong magsaksak sa sarili habang kritikal naman ang kanyang live-in partner na nauna niyang saksakin sa gitna ng kanilang away sa Calamba City, Laguna nitong Lunes.",6,6,True
Isang technical working group (TWG) ang binuo ng House Committee on Information and Communications Technology upang plantsahin ang mga panukala kaugnay ng pagpapabilis ng internet service sa bansa.,1,5,False
"Isang Pilipino ang namamatay kada araw dahil sa rabies noong 2022, batay sa datos ng Department of Health.",8,8,True
"Humingi ng paumanhin ang SMC Infrastructure sa lahat ng motoristang na aapektuhan ng matinding trapik sa ilang bahagi ng South Luzon Expressway (SLEX) Skyway, NAIAx at STAR Tollway, kahapon.",9,9,True
"Kagawad itinumba sa harap ng pamilya, 3 suspek nagpakilalang mga pulis",6,6,True
Hinatulan na ng Sandiganbayan ang dating Quezon City councilor na si Roderick Paulate dahil sa kasong may kaugnayan sa pag-hire ng mga ghost employee noong 2010.,4,4,True
Mahigit P1.4 bilyon na ang natanggap na notice of cash allotment ng Department of Agriculture mula sa Department of Budget and Management (DBM) mula September 30.,1,1,True
"4 puganteng dayuhan timbog sa droga, kidnapping, pangingikil",6,6,True
"Safe ang GCash funds mo, ‘wag maniwala sa fake news",6,11,False
Gobernador de-susi trabaho dahil sa erpat,12,14,False
Duda si House Committee on Transportation chairperson at Antipolo City Rep. Romeo Acop kung matatapos sa itinakdangoras ang Metro Manila Subway project.,5,1,False
"Iniutos kahapon ni Philippine National Police (PNP) chief Gen. Benjamin Acorda Jr., sa lahat ng police unit na lalo pang paigtingin ang operasyon laban sa 48 private armed group (PAG) at mga loose firearms sa bansa bilang bahagi ng ilalatag na seguridad sa idaraos na Barangay at Sangguniang Kabataan Elections (BSKE) sa Oktubre 30.",7,7,True
"Santo Papa naghigpit, ‘freebies’ ng mga cardinal tinanggal",14,2,False
"Mga silid aklatan itayo, pangontra disinformation – Atayde",5,5,True
Apat katao ang dinampot sa magkakahiwalay na operasyon dahil sa iligal na bentahan ng hayop.,6,6,True
Kinumpirma kahapon ng Communist Party of the Philippines-News People’s Army (CPP-NPA) ang pagkamatay ng mag-asawang terorista na sina Benito at Wilma Tiamzon at walo pa nilang kasamahan matapos silang madakip ng mga tauhan ng Armed Forces of the Philippines (AFP) sa lalawigan ng Samar noong Agosto ng nakaraang taon.,6,7,False
Nagbabala ang World Health Organization (WHO) sa Russia na itigil ang pagbomba sa mga ospital sa Ukraine dahil paglabag ito sa international humanitarian law.,7,7,True
2 paghahatian ang P5.9M Lotto 6/42 jackpot,14,14,True
Binurong mga balikbayan box idedeliber bago mag-Pasko,9,9,True
Iniutos ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. na kailangang ilarga agad ang preemptive evacuation kapag may parating na bagyo upang hindi na maabutan ng peligro at hindi mabiktima ng kalamidad.,8,8,True
"Niyanig ng magnitude 4.6 na lindol ang Tinaga Island, Camarines Norte noong Martes ng gabi, ayon sa ulat ng Philippine Institute of Volcanology and Seismology (PHIVOLCS).",8,8,True
"Inindiyan sa birthday, lover nagbigti",14,14,True
"Inihahanda na ng administrasyong Marcos ang panibagong bugso ng cash aid sa ilalim ng Targeted Cash Transfer (TCT) program upang mabawasan ang pasanin ng mga Pinoy sa mataas na presyo ng bilihin, ayon kay Finance Secretary Benjamin Diokno",9,0,False
Limang milyong piso kada araw ang nawawalang kita ng mga mangingisda dahil sa epekto ng oil spill mula sa lumubog na barko sa Oriental Mindoro.,9,0,False
"Barko nagliyab sa Basilan, higit 30 natsugi",8,8,True
Total lunar eclipse masasaksihan sa Nov 8,14,14,True
Napundi na si Pangulong Ferdinand “Bongbong” Marcos Jr. sa mga patayan na may kaugnayan sa politika kaya binigyan ng ultimatum ang Philippine National Police (PNP) pati na ang Armed Forces of the Philippines (AFP).,12,6,False
DA kinalampag sa importasyon ng sibuyas,1,1,True
"2 Utol ni Leyte mayor inambus, 1 tigok",6,6,True
Pinuri ni Speaker Ferdinand Martin Romualdez ang kanyang mga kapwa kongresista sa “very good” rating na nakuha ng Kamara de Representantes sa survey ng Social Weather Stations (SWS).,12,11,False
Lola tigok sa tuklaw ng cobra,8,8,True
"Mistulang palos na nakatakas ang isang barangay tserman habang arestado naman ang asawa nito matapos salakayin ng mga awtoridad ang bahay ng mga ito at makumpiskahan ng hinihinalang shabu at mga pampasabog sa Pikit, Cotobato.",6,6,True
Nagbigay ng reaksyon si Senadora Cynthia Villar sa viral video niya kung saan na-huli cam ang panggagalaiti niya sa isang guwardiya sa Las Piñas.,12,11,False
"Tiklo ang isang magkapatid kasama ang kasabwat ng mga ito makaraan nilang tangayin ang nakaparadang motorsiklo sa Mendez, Cavite nitong Huwebes.",6,6,True
Nasabat ng mga ahente ng Bureau of Customs (BOC) ang nasa P16.5 milyong halaga ng cocaine matapos itong madiskubre sa loob ng bagahe ng isang dayuhan mula sa El Salvador sa Ninoy Aquino International Airport (NAIA) Terminal 3 noong Lunes.,6,6,True
Passenger terminal ng Port of Calapan pangmalakasan na,1,1,True
Naharang ng mga tauhan ng Bureau of Immigration (BI) ang apat pang biktima ng human trafficking  na nagtangkang pumuslit patungong Singapore.,6,6,True
Bundok ng Susong Dalaga magdamag nagliyab,8,8,True
Dating aide ni Enrile binutasan inamag na pork barrel case,6,6,True
Rep Co: LGU pakyawin ani ng mga farmer,5,1,False
DBM binida baryang wage hike! Kahit 3-in-1 coffee ‘di pasok sa budget,0,1,False
Isiniwalat ni Justice Secretary Jesus Crispin Remulla nitong Lunes na isa si Negros Oriental Rep. Arnolfo “Arnie” Teves Jr. sa ikinokonsiderang mastermind sa pamamaslang kay Governor Roel Degamo noong Marso 4.,6,6,True
"Kalahating populasyon sa mundo, nadale ng mouth disease",8,8,True
"Hindi masyadong natalakay nina Pangulong Ferdinand Marcos Jr. ang mga regional issues tulad ng usapin sa West Philippine Sea nang magkaharap sila ni Chinese President Xi Jinping sa bilateral meeting sa Bangkok, Thailand.",13,13,True
Nagsalita na si Executive Secretary Lucas Bersamin kaugnay sa hindi mamatay-matay na isyu ng umano’y pagbibitiw nito sa puwesto na kumalat sa social media nitong weekend.,12,12,True
Abot-abot ang pasasalamat sa Diyos ng isang driver na nakaligtas matapos itong holdapin ng kanyang pasahero at ikandado  ng minamaneho nitong taxi sa Valenzuela City noong Martes.,6,2,False
Elon Musk papasukin internet service sa ‘Pinas,1,13,False
"ISASALANG ng apat na National Sports Association ang pinakamahuhusay na mixed martial artists sa pangunguna nina Team Lakay fighters Jeremy “Juggernaut” Pacatiw at Danny “King” Kingad, gayundin si 2019 Manila Games Combat Sambo champion Mark “Mugen” Striegl para sa sport event na Kon Bokator sa darating na 32nd SEA Games sa Mayo 5-17 sa Phnom Penh, Cambodia.",14,14,True
Personal na nagpaabot ng pagbati si Pangulong Ferdinand Marcos Jr. sa ika-76 kaarawan ni da¬ting pangulong Gloria Macapagal Arroyo.,14,14,True
"Sa press briefing sa Malacanang, pinangalanan ni Abalos ang mga ito na sina Baguio City Mayor Benjamin Magalong, Philippine National Police (PNP) Chief Gen. Rodolfo Azurin Jr., dating Defense Secretary Gilbert Teodoro Jr., Office of the Presidential Adviser on Military Affairs Undersecretary Retired Maj. Gen. Isagani Nerez, at isang pribadong indibidwal na tumangging mapangalanan.",12,12,True
Cong sa mga depositor: Isnaberong bangko layasan!,12,11,False
Banking system tagilid sa Maharlika Fund,0,1,False
9 pamilya na biktima ng Turkey quake balik ‘Pinas,9,8,False
Ipinatigil muna ng Department of Migrant Workers (DMW) ang pagpapadala ng mga first time overseas Filipino worker (OFW) partikular ang gustong magtrabaho bilang domestic helper sa Kuwait.,9,1,False
"Simula Miyerkoles, Pebrero 1, puwede nang isakay ng mga pasahero ang alaga nilang maliliit na hayop tulad ng pusa o aso pero mahigpit na ipagbabawal pa rin ang mga sawa, iguana, bayawak at maging buhay na manok.",9,9,True
"Bangkay tinadtad ng bala, bumulaga sa kalsada",6,6,True
"Inaasahang luluwag na ang mga kulungan sa bansa matapos mapalaya ang 130,138 na Persons Deprived of Liberty (PDL) mula sa iba’t ibang piitan sa bansa.",9,1,False
Kinuwestiyon ng negosyanteng si Enrique Razon ang umano’y agenda ni dating Philippine National Oil Company (PNOC) President Eduardo Mañalac sa pagkontra nito sa naging desisyon ni Pangulong Ferdinand “Bongbong” Marcos Jr. na palawigin ang Malampaya Service Contract No. 38 ng 15 pang taon.,12,12,True
Sumakabilang-buhay nitong Sabado nang gabi ang business tycoon na si Roberto Ongpin sa edad na 86.,14,14,True
Estudyante ni-rape ni sir,6,6,True
Usap-usapan ngayon sa social media ang isang baby na na isinilang na may tila ‘shell’ sa kanyang likod.,14,14,True
Divorce bill tinulak ng 7 senador,5,5,True
"Bumaba ng 14.42% ang mga krimen sa bansa mula Disyembre 1 hanggang 20 kumpara sa parehong panahon noong 2021, ayon sa datos ng Philippine National Police-Directorate for Investigation and Detective Management (DIDM).",6,6,True
Walang masamang tinapay kay Pangulong Ferdinand “Bongbong” Marcos Jr. pagdating sa mga protekto ng dating administrasyon.,12,10,False
"Bantag, Zulueta arestuhin",6,6,True
PH tutulungan mga nilindol sa Syria,13,13,True
Inaresto ng pulisya ang isang 41-anyos na fire volunteer matapos makuhanan ng milyong halaga ng shabu sa isang drug sting sa Parañaque City nitong Sabado ng madaling araw.,6,6,True
Pinoy tinanghal na excellent presentator sa Singapore,14,14,True
"Niyanig ng magnitude 4.8 na lindol ang Odiongan, Romblon kahapon ng umaga.",8,8,True
P180M shabu buking sa inabandonang sasakyan,6,6,True
Engineer na miyembro ng LGBTQIA+ tinodas sa motel,6,6,True
Ibinunyag ni Senadora Risa Hontiveros ang diumano’y “government-sponsored” sugar smugg­ling kung saan tatlong importer ang pinaboran para umangkat ng tone-toneladang asukal.,12,6,False
Isa pang senador ang nagtulak na ibalik ang parusang kamatayan para sa mga taong sangkot sa pagbebenta ng ilegal na droga sa bansa.,5,6,False
"Patay ang isang apat na taong-gulang na batang lalaki matapos itong iwan na mag-isa at makulong sa nasusunog nilang bahay sa Makati City,kahapon ng umaga.",8,8,True
Tatlong babae ang bumulagta habang kritikal ang asawa ng isa sa mga ito matapos silang pagbabarilin ng naburyong na Filipino-Chinese sa  Caloocan City nitong Miyerkoles.,6,6,True
Malaysian PM bibisita sa ‘Pinas,13,13,True
Marino nahulihan ng shabu sa barko,6,6,True
Robin bistado porno sa cellphone,14,14,True
Pinakamataas mula 2009! Presyo ng pagkain sumirit pa,0,0,True
