Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
Labis na ikinagalak ng pamilya ni dating Chief Justice Renato Corona ang desisyon ng Sandiganbayan na nagbabasura sa P130.59 milyong forfeiture case na isinampa laban sa kanila noong 2014.,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,13. Political,5. Constitutionality and Jurisprudence
Pope Francis umapela ng dasal para sa dating Santo Papa,3. Morality,3. Morality,15. Other,3. Morality
"Sarhento kinustodiya, boga sumambulat sa kampo","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Iimbitahan ng  on ways and means ang mga personalidad na iniuugnay sa large-scale smuggling ng mga produktong agrikultural sa bansa.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nagpaliwanag ang Maynilad Water Services Inc. kung bakit madalas magkaroon ng water interruption ang kanilang serbisyo kumpara sa Manila Water Inc.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Dalawa katao ang nasawi habang nasugatan ang mahigit sa 20 katao sa matapos tamaan ng missile ng Russia ang isang ospital sa Dnipro City sa Ukraine.,8. Security and Defense,9. Health and Safety,"7. Law and Order, Crime and Justice",False
"Aabot sa 60,000 katao ang nasawi sa mga ospital sa China dahil sa coronavirus mula nang tanggalin ng gobyerno nito ang zero COVID policy noong Disyembre 2023 at niluwagan ang mga health protocol.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Tulfo dudang kainumaan gabi-gabi mga sindikato: Mga smuggler dabarkads agri, customs","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice"
Inaasahang sisigla ang kompetisyon sa serbisyo ng internet sa bansa sa sandaling maitatag na ng Starlink ni Elon Musk ang low-orbit satellite-based internet service sa Pilipinas.,1. Economic,2. Capacity and Resources,10. Quality of Life,False
Kinumpirma ng pulisya sa Central Visayas na apat na mayor at dalawang vice mayor ang nanganganib umano ang buhay at balak ding iligpit kasunod ni Negros Oriental Governor Roel Dagamo.,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Patay ang apat na sundalo habang kritikal ang isa pa matapos mag-amok ang isa nilang kasamahan at pagbabarilin ang mga ito sa 4th Infantry Division ng Philippine Army sa Camp Evangelista sa Cagayan De Oro City, kahapon ng madaling araw.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Patay ang 57-anyos na dating miyembro ng Mayor’s Anti-Crime Group (MAC-G) ng Tanauan City nang barilin ito sa ulo at katawan ng hindi pa nakikilalang salarinn sa nasabing lungsod sa Batangas nitong Lunes.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Malapit na umano maabot ang pangarap ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. na P20 kada kilo ng bigas.,1. Economic,1. Economic,13. Political,1. Economic
4 ghost firm kinasuhan sa P25B resibo scam,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Matapos makatanggap ng reklamo mula sa ilang mangingisda sa Manila Bay sisilipin ng ACT-CIS partylist ang ongoing reclamation sa Manila Bay.,6. Policy Prescription and Evaluation,10. Quality of Life,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Pinagre-report ni House Speaker Martin Romualdez sa Kongreso ang limang pulis escort ng pinaslang na gobernador na si Roel Degamo.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Itinuturing ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. ang exile ng kanilang buong pamilya sa Hawaii noong 1986 ang pinakamadilim na bahagi ng kanilang buhay.,13. Political,13. Political,13. Political,13. Political
Ex-NSA chief Carlos hugas-kamay sa listahan ng smuggler,13. Political,"7. Law and Order, Crime and Justice",13. Political,13. Political
SMC handa sa mga biyahero ngayong Semana Santa,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
Chinese ambassador binoldyak ni Enrile sa sawsaw EDCA,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Tinawag ni Senador Jinggoy Estrada ang mga imbestigador ng International Criminal Court (ICC) na mga puting unggoy at hindi dapat papasukin sa Pilipinas para mag-imbestiga sa drug war ng dating administrasyong Duterte.,13. Political,13. Political,13. Political,13. Political
Inflation bahagyang bumaba noong Pebrero,1. Economic,1. Economic,1. Economic,1. Economic
"MTRCB bigyan ng werpa sa mga video, online game",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Mga isnaberong Pharma exec bibitbitin sa Senado,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Moderna magtatayo ng planta sa ‘Pinas,2. Capacity and Resources,2. Capacity and Resources,9. Health and Safety,2. Capacity and Resources
Relationship goals: Couple sabay pumasa sa Criminology Licensure Exam,15. Other,15. Other,15. Other,15. Other
"Bumulagta ang isang 62-anyos na canteen owner nang bulagain siya ng dalawang suspek at targetin sa ulo sa loob ng kanyang puwesto sa Talavera, Nueva Ecija noong Lunes.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Arestado ang isang magsasaka matapos itong masamsaman ng ilegal na baril at granada sa Kalamansig, Sultan Kudarat nitong Biyernes.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Computer setup bumagsak, HK airport naparalisa",2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
"Bilang pangako ng administrasyon ni Pangulong Ferdinand “Bongbong” Marcos Jr. na bigyan ng mataas na pagpapahalaga ang edukasyon ng mga kabataang Pilipino, naglaan ang pamahalaan ng kabuuang P138.77 bilyon para sa mga programa at inisyatibo sa Higher Education sa ilalim ng 2023 Ge­neral Appropriations Act (GAA).",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
EU firm magbubuhos ng puhunan sa ‘Pinas,14. External Regulation and Reputation,14. External Regulation and Reputation,2. Capacity and Resources,14. External Regulation and Reputation
"Eroplano ng PAF bumagsak, 2 piloto ligtas",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Makikilala na anumang oras sa susunod na dalawa hanggang tatlong araw ang umano’y utak sa pamamaslang sa brodkaster na si Percival Mabasa, na mas kilala bilang Percy Lapid.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Uulanin ang Palawan, Bicol region, Visayas at Mindanao sa susunod na mga oras dulot ng low pressure area (LPA).",9. Health and Safety,10. Quality of Life,9. Health and Safety,9. Health and Safety
Pumukaw ng atensyon sa social media ang larawan ng isang estudyante na nagmamartsa habang nagle-labor sa una niyang baby.,15. Other,15. Other,15. Other,15. Other
Walang legal na pananagutan! DOJ kuntento sa pagtugon ng GCash vs problema sa platform,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Ikinumpara ni Albay Rep. Edcel Lagman ang kaso ng anak ni Justice Secretary Jesus Crispin Remulla at dating Sen. Leila de Lima na kapwa nasangkot sa iligal na droga.,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
"Umakyat na sa 44 ang bilang ng mga nasawi bunsod ng epekto ng shearline phenomenon na nagpabaha sa Visayas, Mindanao at maging sa Bicol noong Pasko.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Dedo ang 50-anyos na kagawad at kaibigan nito habang kritikal ang kasama nilang barangay chairman nang bumaligtad ang sinasakyan nilang kotse matapos nitong suwagin ang bakal na bakod sa kalsada ng San Mateo, Isabela kahapon nang hatinggabi.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Higit sa P500,000 halaga ng umano’y shabu ang nasamsam ng mga awtoridad mula sa limang hinihinalang tulak ng ilegal na droga sa magkakahiwalay na operasyon sa Bicol nitong Sabado.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Pinaplantsa sa Kamara de Representantes ang panukalang electronic o internet voting para sa mga overseas Filipino.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Mayroon pang 90 araw ang mga subscriber para iparehistro ang kanilang mga SIM card matapos aprubahan ni Pangulong Ferdinand “Bongbong” Marcos Jr. ang extension ng registration.,6. Policy Prescription and Evaluation,10. Quality of Life,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Tsuper na napagtapos 5 anak sa kolehiyo, pinusuan",15. Other,15. Other,15. Other,15. Other
2 todas sa hinuhukay na balon,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety
Bebot kinatok sa haybol saka tinigok,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Party, tugtugan sa Bora ngayong Biyernes Santo bawal muna",3. Morality,3. Morality,"7. Law and Order, Crime and Justice",3. Morality
"Bulalo, sinigang swak na best soup sa mundo",11. Cultural Identity,11. Cultural Identity,15. Other,11. Cultural Identity
"Higit sa P157 milyon ang naipagkaloob ng Philippine Charity Sweepstakes Office (PCSO) para sa pagpapagamot at iba pang tulong-medikal ng higit sa 20,000 mahihirap sa bansa nitong buwan ng Enero.",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Apektado ng oil spill pumalo sa halos 200K residente,9. Health and Safety,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Sumirit ang inflation noong Disyembre 2022 dahil sa pagtaas sa presyo ng maraming bilihin, kabilang na ang sibuyas at iba pang gulay, ayon sa Philippine Statistics Authority (PSA).",1. Economic,1. Economic,1. Economic,1. Economic
"Isla sa Romblon, Batanes kinilala ng int’l travel guide",11. Cultural Identity,11. Cultural Identity,15. Other,11. Cultural Identity
Nakitaan ng kriminal at administratibong pananagutan ng Philippine National Police (PNP) Special Investigation Task Group (SITG) ang 47 pulis na may koneksyon sa pagkakakumpiska ng 990 kilo ng shabu na nagkakahalaga ng P6.7 bil­yon sa Maynila noong Oktubre nakaraang taon.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
277 naputukan sa Bagong Taon salubong,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"P90M puslit na asukal, yosi nabisto ng BOC sa 5 container van","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Pabayang mga opisyal yari kay Tulfo! ‘Mental Hospital mabaho pa sa koral ng baboy’,9. Health and Safety,13. Political,"7. Law and Order, Crime and Justice",False
Arestado ang isang 30-anyos na babae matapos nitong pasukin at pagnakawan ang apartment ng Hollywood actor na si Robert de Niro sa New York City kahapon ng umaga.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nabisto at nahuli nang Philippine Coast Guard (PCG) ang isang barko at tatlong bangka na nagnanakaw ng diesel sa Navotas Fish Port.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Inihayag ni US President Joseph Biden nitong Lunes na magpapadala siya ng “first of its kind” presidential trade and investment mission sa Pilipinas.,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Bautista todo-paliwanag sa NAIA sale,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",13. Political,False
"Dapat nang imbestigahan at ilagay sa preventive suspension si Department of Agriculture (DA) Senior Undersecretary Domingo Panganiban dahil sa kanilang patuloy na pagtulong sa pagbuo ng isang makapangyarihang kartel sa asukal, na kanila pang ipinagmamalaki ngayon, ayon kay Senadora Risa Hontiveros.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice"
"Pansamantalang isasara sa mga motorista  ang bahagi ng Maharlika highway sa Barangay San Juan, Alaminos Laguna upang bigyang daan ang konstruksyon ng TR4 project o South Luzon Expressway extension.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Eroplano lumagpas sa runway, pitong pasahero 2 crew ligtas",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Doble ang halaga ng in-import ng Pilipinas kumpara sa mga ini-export ng bansa noong Enero.,1. Economic,1. Economic,2. Capacity and Resources,1. Economic
Mga tilapya naglutangan sa init,9. Health and Safety,9. Health and Safety,15. Other,9. Health and Safety
Pinoy folk dance bumida sa Hong Kong,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity
"Fire volunteer, 2 pa timbog sa P3.5M drug bust","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Mas mabuting may ginagawa ang VP kaysa wala – Escudero,13. Political,13. Political,13. Political,13. Political
"Bangka nagka-aberya, 72 nasagip sa trahedya",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nagpahayag ng pangamba si Senadora Risa Hontiveros na posibleng matakpan ang isyu ng sugar smuggling scandal ngayong itinalagang officer-in-charge (OIC) ng Sugar Regulatory Administration (SRA) si Agriculture Undersecretary Domingo Panganiban.,13. Political,13. Political,13. Political,13. Political
Naospital dahil sa COVID-19 tumaas,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Isang kahon na naglalaman ng nasa isang kilo ng pinaniniwalaang cocaine at nagkakahalagang P7 milyon ang natagpuan ng mga mangingisda na palutang-lutang sa karagatan sakop ng Rizal sa lalawigan ng Palawan, ayon sa ulat ng pulisya kahapon.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
5 pulis escort ‘di sumipot noong itumba si Degamo,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Todas ang isang miyembro umano ng sindikato sa droga nang rapiduhin ito ng dalawa niyang kasama dahil sa onsehan sa droga sa bayan ng Tiaong, Quezon noong Huwebes.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Dinumog ng mga mamimili ang Antipolo Kadiwa Pop-Up Store na matatagpuan sa Sumulong Park.,10. Quality of Life,15. Other,15. Other,15. Other
96% ng SIM rehistrado na,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,15. Other,6. Policy Prescription and Evaluation
Summer season idineklara ng Pagasa,9. Health and Safety,15. Other,9. Health and Safety,9. Health and Safety
"Ginisa vs US citizenship, libel ! Tulfo nalantad 4 bebot sa DSWD appointment","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice"
Tiniyak ni House Speaker Martin Romualdez na ang pagbisita sa Amerika at pakikipagpulong ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. kay US President Joe Biden ay malaking tulong sa Pilipinas.,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Diesel, kerosene tataas ng higit piso",1. Economic,1. Economic,1. Economic,1. Economic
"Naghain ng resolusyon ang mga miyembro ng Makabayan bloc upang paimbestigahan sa Kamara ang alegasyon ng kaso ng sex trafficking, rape at physical abuse ng mga babae at bata laban kay Kingdom of Jesus Christ founder Pastor Apollo Quiboloy.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Linis korapsyon sa hudikatura, madugo – Escudero",13. Political,13. Political,13. Political,13. Political
Dapat tutukan ng gobyerno ang export upang makabawi sa mataas na inflation at hindi gaanong maramdaman ng mga Pilipino ang epekto nito.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"May 503 bagong kaso ng COVID-19 ang naitala ng Department of Health (DOH) kaya umabot na sa 4,085,116 ang kabuuang bilang ng mga dinapuan ng virus.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Sino raw itong tauhan ng senador ang hindi na pinabalik sa trabaho dahil sa kakaibang trip kapag nalalasing?,13. Political,13. Political,13. Political,13. Political
Yvonne murder pinakakalkal sa Kamara,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Arnel Ty target barilin LPG VAT,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
Estudyante bumulaga bangkay sa rooftop,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"P1M puslit na yosi nabisto, negosyante kalaboso","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
DepEd supervisor todas sa ambush,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Kasabay ng pagkumpirma na wala nang libreng sakay sa EDSA busway mula sa unang araw ng Ene¬ro, ipinahayag ni Department of Transportation (DOTr) Secretary Jaime Bautista nitong Miyerkoles na tuloy ang pagsasapribado ng gobyerno sa operasyon ng EDSA Bus Carousel service sa taong 2023.",6. Policy Prescription and Evaluation,2. Capacity and Resources,10. Quality of Life,False
"Nagkalasog-lasog ang katawan ng isang 58-anyos na lalaking pasyente ng Ospital ng Tondo matapos itong tumalon sa bintana ng ikaapat nitong palapag sa Jose Abad Santos sa Tondo, Maynila kahapon nang madaling-araw.",9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety
Parol ng mga PDL bumida sa Ortigas hotel,15. Other,15. Other,15. Other,15. Other
"Hindi na itutuloy ng Senado ang pag-imbestiga sa pagpaslang sa brodkaster na si Percival ‘Percy Lapid’ Mabasa, gayundin sa mga anomalya sa loob ng New Bilibid Prison (NBP) ayon kay Senador Ronald ‘Bato’ dela Rosa.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Bumbero rumaket na tulak, bistado sa P23M shabu","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Mga environmentalist ikinagalak pag-apruba ni PBBM sa clean and green mining,12. Public Opinion,12. Public Opinion,10. Quality of Life,12. Public Opinion
PCSO tutukuran problema sa malnutrisyon ng mga batang Pinoy,9. Health and Safety,9. Health and Safety,10. Quality of Life,9. Health and Safety
"PNP binalaan mga scammer, bilang na maliligayang araw","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Mga cong na patok performance tinukoy sa survey ng RPMD,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
Mga Fil-Am rumampa sa protesta vs hate crime,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
Operasyon ng immigration vs mga dayuhan scam ‘yan- BI chief,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice"
