text,code_frames,label
MANILA – The Philippine National Police (PNP) and the Indonesian National Police (INP) have reaffirmed their partnership  transnational crime and terrorism in the region.,14,13
"MANILA – Local government units (LGUs) have until March 31 to submit their proposed climate change adaptation projects and programs to the People’s Survival Fund (PSF) Board, the Climate Change Commission (CCC) announced Wednesday.",6,5
"The Philippines, being the main security ally of the United States in the Indo-Pacific region, must be given preferential treatment on trade and investments.",14,13
P150M worth of suspected smuggled agri products found in Metro Manila warehouses —BOC,7,6
Zubiri schools ‘neophyte’ Padilla over canceled Cha-Cha hearing,13,12
The Civil Aviation Authority of the Philippines (CAAP) is expecting over two million passengers to flock to the airports next month amid the Holy Week break.,10,9
"MANILA, Philippines – The Philippines is set to ease its face mask policy as President Ferdinand Marcos Jr. “verbally” approved coronavirus task force’s  to make wearing masks optional when outdoors.",9,8
"LIST: Metro Manila, other areas to remain under Alert Level 1 until May 15",9,8
"BI: 45,000 arrivals recorded on Easter Sunday",10,9
"Governor Manuel Mamba on Tuesday reiterated his stance against establishing a new EDCA site in Cagayan as he expressed fear that the base could  a ""magnet"" for attacks by US adversaries.",13,12
"The story of Ateneo guard Jeneven Bandiala: Loving husband, selfless brother",15,14
Rappler Talk: Czar Matthew Gerard Dayday on topping the 2022 Bar Exams,15,14
"MANILA, Philippines – The Department of Health (DOH) said on Friday, February 4, that 69.2% of the reported COVID-19 cases among the pediatric group (those 17 years old and below) in January 2022 were children aged 0 to 11.",9,8
"PNP arrests 22,649 ‘most wanted’ in first quarter",7,6
"In privilege speech, lawmaker laments crowded gov’t shelters for OFWs",2,1
"MANILA, Philippines – Another person tagged in the death of Adamson University student John Matthew Salilig has surrendered to the authorities, Department of Justice (DOJ) spokesperson Assistant Secretary Mico Clavano said on Friday, March 3.",7,6
"Senator Nancy Binay on Thursday said she is hoping to see the “aggressive” side of President Ferdinand “Bongbong” Marcos Jr. and  ""less lenient"" to his Cabinet in his second year in office.",13,12
Add’l 4K indigents get P26.7-M medical aid from PCSO,10,9
MANILA – The Bureau of Immigration (BI) on Friday announced the deactivation of its Port Operations Division (POD).,13,12
"The Department of Health (DOH) on Friday recorded 503 new COVID-19 cases, bringing the overall tally to 4,085,116.   The number of active cases went down to 9,413 from the 9,533 reported on Thursday, according to the latest DOH bulletin.   The country’s total recoveries went up by 609 to 4,009,269, while the death toll stood at 66,434.",9,8
"Padilla seeks separate Senate committee reports on con-ass, Con-con",5,4
House donates P5.4 million aid for Turkey quake victims,14,13
Senator Imee Marcos on Tuesday suggested for each daycare center in the country to have at least one child development worker who is accredited and being paid by the national government.,6,5
"MANILA, Philippines – The Philippines has continued to step up its presence in the West Philippine Sea, deploying Navy and Coast Guard ships as it faces persistent incursions by Chinese vessels in its waters.",8,7
"Marcos, Fiala, discuss West PH Sea, economics, in 'successful' meeting",14,13
"Revilla alarmed over alleged PNP, NBI data breach; calls for probe",7,6
"MANILA, Philippines – The Supreme Court (SC) has unanimously approved the Code of Professional Responsibility and Accountability (CPRA), a guide for the conduct of lawyers.",6,5
Six more persons of interest in Salilig hazing case want to surrender - Remulla,7,6
Progressive  on Friday the 1986 EDSA People Power Revolution ahead of its 37th anniversary on February 25.,11,10
"MANILA, Philippines – As presidents are expected to make clear their vision and priorities for the country in their first 100 days in office, the international trips they make during that period are an indication of the foreign policy they are shaping.",14,13
"MANILA, Philippines – Department of Justice (DOJ) Secretary Jesus Crispin “Boying” Remulla said the government will send  to the International Criminal Court (ICC) for its drug war probe out of respect and not necessarily because of “compliance.”",5,4
"Philippines logs 121 new COVID-19 cases; active tally at 9,230",9,8
Australian trade minister expected in PH,14,13
"Suspended Negros Oriental 3rd District Rep. Arnolfo “Arnie” A. Teves Jr., a suspected “mastermind” in the March 4 killing of provincial governor Roel R. Degamo, may still be in Cambodia.",7,6
Signal No. 1 still up in some Luzon areas as ‘Amang’ lingers over Camarines Sur,10,9
DOJ welcomes surrender of cops in 2020 slay of Spanish national,7,6
"The recent revamp of officials in different positions in the Philippine National Police (PNP) has nothing to do with the ongoing review on the courtesy resignations of senior officers, its chief Police General Rodolfo Azurin Jr. said Friday.",13,12
Cong Pimentel hopeful of gov't windfall from LBP-DBP merger,13,12
PH Air Force 'Black Hawks' spearhead Zambales air assault drills,8,7
Financial woes due to pandemic force Kalayaan College to close,2,1
"Warm, humid weather seen across PH Tuesday",10,9
"Scattered rain showers and thunderstorms may persist in Mindanao and parts of Visayas due to a low pressure area (LPA) and the intertropical convergence zone (ITCZ), the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) said on Tuesday, May 2.",10,9
"DepEd says no class suspension amid transport holiday, urges ‘alternative delivery modes’",10,9
"For the first time in a long time, the country’s president and vice president are both concurrent heads of government agencies – President Ferdinand Marcos Jr. is his own agriculture chief, while Vice President Sara Duterte leads the education department.",13,12
"MARINA issues cease, desist order vs MT Princess Empress owner",7,6
Easterlies to prevail over most parts of PH,10,9
Rappler Talk: Is the Marcos administration’s honeymoon over?,13,12
MANILA – The Sandiganbayan anti-graft court has turned down a plea filed by a co-accused of former Negros Oriental congressman Herminio Teves in graft charges arising from an alleged PHP9.6 million worth of ghost projects funded by the solon's pork barrel in 2007.,5,4
"MANILA – The House Committee on Appropriations has approved the proposed measure seeking for the establishment of disaster food banks facilities in every province across the country, Dinagat Island Lone District Rep. Alan 1 B. Ecleo said on Monday.",6,5
Tolentino: PDP-Laban has yet to decide on supporting Cha-cha,13,12
Philippines detects one case of Omicron subvariant XBB.1.5,9,8
MANILA – Senator Francis Tolentino on Friday said he is determined to push for the postponement of the Barangay and Sangguniang Kabataan Elections (BSKE) in Negros Oriental amid reports of threats and violence in the province after the killing of the late Governor Roel Degamo.,13,12
Not once but twice? Barbers says deeper probe needed on PNP cover-up in Tondo drug raid,7,6
‘Libreng sakay’ provides relief amid ongoing transport strike,10,9
MANILA – President Ferdinand Marcos Jr. on Wednesday reiterated  to continue the military's modernization to enhance armed forces’ capabilities to deal with national security threats.,8,7
"Ultra, Super Lotto jackpots still up for grabs",15,14
Feast of Saint Dominic Savio on May 6,3,2
"The Philippines has logged a total of 1,006 cases of cholera from Jan. 1 to March 18, latest data from the Department of Health (DOH) showed.",9,8
"Tropical depression Amang may continue to bring rains and strong winds to some parts of Bicol, Southern Luzon, and Central Luzon, said the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) on Thursday morning, April 13.",10,9
"Philippine officials are preparing to receive new Chinese Foreign Minister Qin Gang, who plans to visit Manila later this week, diplomatic sources told GMA News Online Tuesday.",14,13
"President Ferdinand ""Bongbong"" Marcos Jr. on Tuesday said the government would be putting up several cold storage facilities in various fish ports to address the spoilage of the fishermen’s catch.",2,1
Search on for missing plane in Albay,15,14
Some transport groups oppose upcoming week-long strike,12,11
AFP upbeat on deal for 4 more EDCA sites in the Philippines,2,1
MANILA – The Department of Agriculture (DA) on Monday said it has confiscated around PHP40 million worth of misdeclared agricultural products at the Subic Port.,7,6
Ople to brief UN on PH migration governance,14,13
"MANILA – India is set to train more Filipinos as its continuing training program for the Philippines reach more than 1,000 beneficiaries.",14,13
Marcos picks Vic Rodriguez as his executive secretary,13,12
The Sandiganbayan has junked an ill-gotten case filed against the late President Ferdinand Marcos and several others after the anti-graft court ruled that the government prosecutors failed to present sufficient evidence.,7,6
The Bangko Sentral ng Pilipinas (BSP) said Thursday it did not release a banknote new design or denomination.,15,14
The US guided-missile destroyer USS Milius on Monday conducted a freedom of navigation operation in the South China Sea near the Spratly Islands.,14,13
Marcos seeks ways to exploit West PH Sea resources without China deal,2,1
MANILA - The Senate Blue Ribbon Committee (SBRC) is expecting new reforms at the Ninoy Aquino International Airport (NAIA) as it ended on Monday its investigation on the alleged human smuggling at the airport as revealed by Senator Grace Poe during her Feb. 15 privilege speech.,7,6
Number of people sick due to Mindoro oil spill rises to 191 —DOH,9,8
"Pro-, anti-Marcos groups greet PBBM in US capitol",13,12
PH won’t be ‘staging post’ for any military action – Marcos,8,7
"Negros Oriental Representative Arnolfo “Arnie” Teves Jr. will face the allegations of murder against him, his lawyer said Friday.",7,6
Marcos: Politics after exile was for ‘our own survival’,13,12
Positivity rate not sole indicator to assess Covid-19 situation—DOH,9,8
"EU lawmakers call on Philippines to rejoin ICC, decriminalize libel",7,6
"MANILA, Philippines – The government pandemic task force has allowed 100% classroom capacity for in-person classes for higher education institutions (HEIs) in areas under Alert Level 1, Malacañang said on Friday, March 11.",2,1
"MANILA – President Ferdinand R. Marcos Jr. said his discussions with the United States  ""affirm the optimism"" with which international investors view the Philippines today.",14,13
"A ticket bought in Zamboanga City, Zamboanga del Sur yielded a new Super Lotto 6/49 jackpot winner in the 9 p.m. draw of the Philippine Charity Sweepstakes Office (PCSO) on Thursday, April 27.",15,14
"MANILA – President Ferdinand R. Marcos Jr. urged the Armed Forces of the Philippines (AFP) and the Philippine Air Force (PAF) to keep all military assets in good condition and ""ready to go"" in order to fulfill their role as the country’s first line of defense against external security threats.",8,7
"the review of the curriculum for Kinder to Grade 10, the Department of Education (DepEd) released the revised curriculum guide for Kinder to Grade 10 (K to 10) last week.",6,5
"Gov’t must strengthen SK, civilian role in disaster response – youth groups",12,11
"MANILA, Philippines – A nominee of progressive Anakpawis Partylist was arrested by the police, the party list said on Saturday, April 9.",7,6
Senator Robin Padilla on Friday released a draft copy of the Senate Committee on Constitutional Amendments and Revision of Codes' report on the measure seeking to reform the economic provisions of the 1987 Constitution via constituent assembly (con-ass).,6,5
"MANILA, Philippines – Senator Francis “Kiko” Pangilinan came prepared to the Commission on Elections’ (Comelec) PiliPinas Vice Presidential Debate on Sunday, March 20, with notes on years of experience as a Philippine senator and receipts of the successes of the vice presidency of his standard-bearer, Vice President Leni Robredo.",13,12
"The Department of Public Works and Highways (DPWH) warned its personnel, contractors, suppliers and other clients with legitimate business transactions in the department never to fall prey to unscrupulous groups using the names of its officials to solicit funds supposedly for worthy projects or any unknown purposes.",7,6
"The Department of Health on Monday, April 17, reiterated  to achieve a malaria-free nation by 2030.",9,8
"Senator Aquilino “Koko” Pimentel on Monday urged the government and private sectors to implement a ""temporary work break"" from 11 a.m. to 2 p.m. for outdoor-based workers amid the rising temperature this summer season.",9,8
EU to continue recognizing PH-issued certs to seafarers,14,13
PhilHealth urges public to avail of outpatient HIV treatments,9,8
Salceda: Eased inflation both good and bad news,1,0
QC cops nab 33 in 24-hour anti-crime ops,7,6
"Philippines logs 133 new COVID-19 cases; active tally climbs to 8,943",9,8
"MANILA, Philippines – The National Bureau of Investigation (NBI) on Wednesday, February 9, perp walked or presented to the media, a man whom it was considering to be a person of interest in the supposed threat on TikTok to kill presidential front runner Ferdinand “Bongbong” Marcos Jr.",8,7
VP Duterte’s office opens 8th satellite office in Isabela,2,1
EDSA 36: Martial Law victims still hopeful despite Marcos Jr.’s presidential bid,13,12
"MANILA – The Department of Budget Management (DBM) will be holding various capacity-building, trainings, and seminars to help prepare local government units (LGUs) for the devolution of functions to localities.",2,1
Voters of Barangay Muzon in Bulacan agree to split village into 4,13,12
"PBBM: Rule of law prevails, justice system fully functional in PH",5,4
MANILA – The Commission on Human Rights (CHR) has maintained its Status “A” accreditation with the Global Alliance of National Human Rights Institutions (GANHRI).,13,12
"Authorities identified a “fault current” as the cause of the power outage at the Ninoy Aquino International Airport Terminal 3 on Labor Day, but an investigation is still ongoing to determine the root of the issue which impacted some 9,000 passengers.",10,9
"Civil Service Commission (CSC) Chairperson Karlo Nograles reminded new doctors that whether they choose a private or public practice, they must at all times, be accountable to the people.",9,8
PNP aims for 3-minute response time to crime in crowded areas,8,7
DOT commits P2M to oil-spill affected LGUs for tourism-related projects,2,1
"MANILA, Philippines – Press freedom advocates from the Philippines and around the world celebrated the acquittal of Nobel laureate Maria Ressa, chief executive officer of Rappler, and Rappler Holdings Corporation by the Court of Tax Appeals (CTA) on Wednesday, January 18.  “The National Union of Journalists of the Philippines  the acquittal of Maria Ressa and Rappler Holdings Corporation at the Court of Tax Appeals,” the NUJP said in a statement on Wednesday morning, following news of the acquittal.",4,3
Sustainable water provided to low-income households in Boracay,10,9
Marcos gets ‘very good’ satisfaction rating in end 2022 – SWS,12,11
Why the Philippines is not closing borders vs monkeypox for now,9,8
PBBM names new PCC commissioner,13,12
"BAGUIO CITY, Philippines – Presidential candidate and Vice President Leni Robredo as well as her running mate Senator Kiko Pangilinan called for the immediate release of detained senator Leila de Lima after two star witnesses in her pending drug cases recanted their accusations.",13,12
"Amid the shortage of plastic cards used for printing driver’s licenses, Transportation Secretary Jaime Bautista on Friday warned of another shortage in vehicle license plates.",2,1
"MANILA, Philippines – The Supreme Court 1st Division junked graft charges against Chief Presidential Legal Counsel Juan Ponce Enrile and other respondents in relation to the coco levy fund scam.",7,6
COVID-19 pandemic: Latest situation in the Philippines – May 2022,9,8
Padilla: House should yield con-con position to Senate con-ass reso,13,12
The Sandiganbayan on Friday denied the Motion for Reconsideration filed by former First Lady Imelda Marcos and her daughter Irene Marcos-Araneta and affirmed its January 2023 Resolution which denied the Marcoses bid to take back the wealth and properties seized from them by the government.,5,4
"A Chinese warship was spotted near Pag-asa Island in Palawan last Saturday, according to Maki Pulido’s “24 Oras” report on Tuesday.",8,7
"US, PH defense chiefs ‘condemn’ Chinese gray zone ops in WPS",14,13
"At least 409 Filipinos, mostly overseas Filipino workers (OFWs), were evacuated from strife-torn Sudan in Egypt, Malacañang said on Thursday, April 27.",10,9
"The Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) is monitoring a Low Pressure Area (LPA) spotted in Mindanao and the northeasterly surface windflow affecting Northern and Central Luzon.",10,9
Supreme Court clears Inquirer in Enrile libel case over Marcos loot story,5,4
"Love you, bestie! 1 out of 3 Filipinos confessed love for a friend – SWS",12,11
"SC on decision-writing period May 2 to June 9; no division, full court sessions",5,4
"MANILA, Philippines – The Department of Education (DepEd) said on Wednesday, August 10, that it lacks around 91,000 classrooms  for school year 2022 to 2023.",2,1
"MANILA – This year's ""Balikatan"" exercise will allow the Armed Forces of the Philippines (AFP) to use its most modern weapons systems and newly-developed doctrines in projecting the so-called credible defense posture, the country's military chief said Tuesday.",8,7
"The Philippines recorded 200 new COVID-19 infections on Friday, while the number of active cases rose to 10,094, according to the Department of Health.",9,8
FDA creates task force to fast track COVID-19 drugs registration,2,1
WASHINGTON —President Ferdinand Marcos Jr. met US Secretary of Defense Lloyd Austin at the Pentagon on Wednesday morning.,14,13
Court martial vs. 2 ranking PA officials starts this week,7,6
2 female Taguig cops feted for refusing P100K bribe in drug case,7,6
"MANILA, Philippines – The Senate bill seeking to penalize discrimination based on sexual orientation, gender identity, and expression (SOGIE) has been reverted to  level after Senate Majority Leader Joel Villanueva presented piles of letters from concerned religious groups at the Senate session on Wednesday, February 8.",6,5
PBBM: Provide aid to passengers affected by NAIA power outage,10,9
"MANILA, Philippines – Three public schools in the Philippines have been shortlisted in specific categories in the World’s Best School Prize, which was launched in 2022 by T4 Education (T4), a global education organization in partnership with Yayasan Hasanah, Templeton World Charity Foundation, Accenture, and American Express.",14,13
"The Philippine Army’s 2nd Infantry Division (2ID) condemned the Communist Party of the Philippines – New People’s Army – National Democratic Front (CPP-NPA-NDF) on Thursday, April 27, after a soldier was allegedly killed by rebels in San Jose, Occidental Mindoro.",7,6
"An industry-led advocacy group on Thursday, April 13, underscored the urgent need for greater collaboration among stakeholders to ensure Filipino graduates would have  they need in the workplace.",2,1
MANILA – The Manila International Airport Authority (MIAA) on  some workers at the Ninoy Aquino International Airport (NAIA) Terminal 3 for returning the money of an outbound passenger.,3,2
"MANILA, Philippines – Almost all of the respondents surveyed by Pulse Asia, or 92%, said they were hopeful for the new year.",12,11
"MANILA – Senator Francis Escudero on Wednesday asked his colleagues to pass Senate Bill No. 1359, which prohibits the “no permit, no exam” policy which, he said, is the cruelest of fines being imposed by some educational institutions.",6,5
MANILA – The Department of Social Welfare and Development (DSWD) honors solo parents providing parental care and support to their children on their own as the  the first “Solo Parents Week”.,11,10
Remulla: 5 to 6 people conspired in Degamo slay,7,6
Robin pushes for death penalty vs security personnel tagged in murder,7,6
DICT: No more extension after addt’l 90-day SIM registration period expires,6,5
"The Integrated Bar of the Philippines (IBP) on Wednesday called on the National Bureau of Investigation (NBI) and the Philippine National Police (PNP) to investigate the attack on a lawyer in Bangued, Abra.",7,6
MANILA – Pharmaceutical and  Moderna on Tuesday announced its plan to establish a shared service facility for pharmacovigilance in the Philippines that will serve the entire Asia-Pacific region.,9,8
"Amid the looming water supply problems due to El Niño, the National Water Resource Board (NWRB) has decided to cut the water allocation for irrigation in various parts of the country starting May 10.",2,1
"Gov't will pursue drug war appeal with ICC, SolGen Guevarra says",13,12
Two suspects tagged prominent person in Degamo slay —source,7,6
"Sandigan denies ex-Oriental Mindoro Rep Valencia’s bid to challenge evidence in graft, malversation charges",7,6
Bumisita ang bise pangulo ng Amerika sa Pilipinas – si Kamala Harris.,14,13
"Police on Friday raided houses belonging to Negros Oriental Representative Arnolfo Teves Jr. in the province in search of loose firearms, Unang Balita reported on Friday, citing Dobol B TV.",7,6
"A proposed bill in the Senate is eyeing the possible release of a portion of the P100,000 cash gift for centenarians as soon as they reach the age of 80 years old.",6,5
US provided over $20M worth of assistance in Oriental Mindoro oil spill response —Galvez,2,1
"MANILA, Philippines –  At a premier security conference in Munich, Germany, Philippine Foreign Secretary Enrique Manalo drew attention to China’s increasing harassment of Philippine vessels in the South China Sea, describing it as an occurrence that now formed part of the “daily situation” in the volatile waterway.",14,13
SEC issues revocation order vs Rappler in last 2 days of Duterte presidency,7,6
"A group of faculty members and professors from the University of the Philippines (UP), in an open letter, questioned the appointment of UP Law School Dean Edgardo Carlo Vistan II as the new UP Diliman Chancellor.",12,11
The lawyer of suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. said that certain indications led him to believe that proceedings in the preliminary investigation into the killing of Negros Oriental Governor Roel Degamo will be a kangaroo court.,7,6
DOLE: Feb 2023 survey reflects improving employment situation,12,11
PBBM economic team to present opportunities to Japanese investors,1,0
"Fresh COVID-19 cases at 781; active infections rise to 4,960 —DOH",9,8
"MANILA, Philippines – The Supreme Court (SC) voided the directives of the Securities and Exchange Commission (SEC), which required the accreditation of Certified Public Accountants (CPAs) who act as external auditors  that issue registered securities and possess secondary licenses.",5,4
MANILA – Two females who posed as Muslims to be able to leave the country and work abroad were recently intercepted by officers of the Travel Control and Enforcement Unit (TCEU) of the Bureau of Immigration (BI) at the Ninoy Aquino International Airport (NAIA) Terminal 3.,7,6
FULL TEXT: President Marcos’ speech at the 77th UN General Assembly,13,12
MANILA – Malacañang on Monday announced the four additional “suitable and mutually beneficial” locations for the Enhanced Defense Cooperation Agreement (EDCA).,8,7
Philippines to look into UN body's recommendations on 'comfort women',3,2
"MANILA, Philippines – Detained former senator Leila de Lima has asked the court once again to drop the drug-related case against her, following the key witnesses’ retraction of accusations against her.",7,6
"Maharlika fund has adequate safeguards, Romualdez tells Asia CEO",1,0
"In anticipation of the influx of travelers this Holy Week, the Philippine Red Cross (PRC) has set up first aid stations with trained emergency medical services teams in various ""critical"" locations across the country.",9,8
MANILA – United Nations (UN) Secretary-General's Special Envoy for Road Safety Jean Todt on Thursday highlighted the need for increased vigilance to fight the growing number of road traffic fatalities across the world.,14,13
Austin vows aid following quake in Mindanao,2,1
Marine conservation groups push for laws protecting sharks,6,5
"MANILA – Around 35 investment agreements on a wide range of areas of cooperation have been sealed between the Philippines and Japan on Friday, on the third day of President Ferdinand R. Marcos Jr.’s official visit to Tokyo.",14,13
"President Ferdinand ""Bongbong"" Marcos Jr. on Wednesday urged lawmakers to ""enshrine"" into law policies that will help address malnutrition in the country.",6,5
"Maynilad customers in parts of NCR, Cavite to have water service interruption until Feb. 14",10,9
"MANILA, Philippines – In the latest reshuffle in the Philippine National Police (PNP), former PNP spokesperson Brigadier General Bernardo Banac has recently been named the new regional director of the Eastern Visayas police.",13,12
"President Ferdinand ""Bongbong"" Marcos Jr. admitted Thursday that the Philippines is experiencing water crisis.",2,1
"VP Sara: Hire teachers based on merit, not political patronage",13,12
Rappler Recap: Bantag faces DOJ probers in Percy Lapid case,7,6
[PODCAST] Kriminal: Percy Lapid case – Why are prisoners being used for crimes?,7,6
House revives talks to decriminalize marijuana use in the Philippines,6,5
WASHINGTON - President Ferdinand “Bongbong” Marcos Jr. has taken up with the Chinese government the recent incident wherein a Filipino and Chinese vessel nearly crashed off Spratly Islands.,14,13
WATCH: How Ondoy saved Marikina residents from Karding,10,9
